,input,reply
779,how tall is it from base to top,35 inches
780,can it be used with a dimmer switch,yes it can
781,will the connections fit for my wher25 system,yes it will
782,how long will it store,5 years
783,could you sell the lamp without bulbs,of course
784,where is this made ie country of origin,made in china
785,will this mount on my milwaukee multitool,yes it will
786,is this cord underwriters laboratory approved,yes it is
787,compatible with 130269012,dont know sorry
788,can this be used to repair a broken chimenea,yes it can
789,are these sunglasses polarized,no they arent
790,can this fan be hardwired,yes it can
791,can this machine weld 16 and 18 guage sheet metal,yes it can
792,what height is this one,23 inches
793,what is the diameter of the filter,about 3
794,is there an insert for a leatherman pocket clip attachment,no there isnt
795,can you ship this to australia,yes we can
796,will you ship to dubai,yes we can
797,dd5060 is the hex shank 14,yes it is
798,height,three inches
799,what color are the lights,white
800,how many inlet holes does it have,three
801,anyone know the case demension on these motors,dimensions please
802,whats the diameter of the base plate,about 5 inches
803,what color is the inside of the shade,white
804,is the connection wired or a plug in,wired
805,do u ship internationally to new zealand,unfortunately no
806,what type of batteries does this take,four aa batteries
807,will this fit a rigid 12 ms12501 miter saw,yes it should
808,how high is the shade,9 inches
809,does this fit the fm2027,i dont know
810,is this glass or plastic,heavy duty plastic
811,is the lamp plug in or hardwired,hard wired
812,will this replace max flo ii spx2710z1m 15 hp,should
813,what color is the switch that comes with it,white
814,its weight,32 pounds
815,is this fixture rated for damp locations,yes it is
816,how tall is it,about 6 feet
817,how high are these,about 12
818,what diameter is the bulb,its 4 inches
819,is this ul listed,yes it is
820,what is this product made of steel or plastic,it is plastic
821,are the screws included,yes they are
822,is the finish brushed or shiny,brushed
823,do you have 150 currently in stock,yes thank you
824,can this be installed without the deck plate,yes it can
825,are they mounted with screws,yes they are
826,what is the height of the apron front,9 inches
827,is the shade oval or round,round
828,is everything in the picture included,yes it is
829,what size hole is needed to intall the lock into,75 inch
830,how long are the bolts,about 25
831,are the lights dimmable thanks,yes for sure
832,what is the size of the base stand,105 inches
833,where is it made what country,made in china
834,how much does it weigh,about 430 lbs
835,how far does this come out from the wall,6 inches
836,will this stapler except t50 38th staples,yes it will
837,the 18v lithium charger will charge 18v nicad batteries also,yes it will
838,how long are the poles,about 6
839,is the nero a black colored sink,yes it is
840,can it be used with spt 1 cord,dont know sorry
841,is this hardwired or a plug in light,hard wired
842,what is the lining made of cloth or paperplastic,cloth
843,will this handle 4 inch vanes,yes it would
844,how high is this gate,44 inches tall
845,so these will fit on a 4x4 deck post,yes they do
846,how much does it weigh,about 17 pounds
847,how long are the arms,26 inches
848,what is the projection measurement,about 14
849,i have a 02 lx accord will it work,it should
850,any warranty on the item,25 years
851,where is the saw made from what country,made in china
852,where is it made,made in china
853,what is the height of the wooden stand,27 inches
854,how many light bulbs does one order include,only one
855,is your drop cloth seamless,yes it is
856,can this be used in fake xmas trees or garlands,dont think so
857,what is the warranty on this item,1 year
858,what is the cover plate diameter,1 34 inches
859,outdoors can these be used on a covered outdoor patio,yes they can
860,does anyone know if this is a type e bulb,yes it is
861,how long is the attached wire,38 inches
862,why isnt there a manufactured date on the unit,i dont know
863,how much does the spray head pull out,about 8 inches
864,what is the height of this lamp,13 inches
865,do the hooks come with nails,yes they do
866,does this have pop out arrows,dont think so
867,what is the spout reach on this faucet,5 inches
868,what are the dimensions,approximately 9x12x2
869,how long is it,about 6
870,how long is the power cord 15 feet,about 12
871,will this fit a 2 inch thick concrete counter top,yes it should
872,is this plug in or hard wired,hard wired
873,can this fixture be mounted down facing,yes it can
874,do these work wire in a standard outlet box,yes they do
875,what is the diameter of the head,about three inches
876,how long is the chain,about 18 inch
877,what is the diameter of the rod,1 inch
878,how far between the grooves that can hold 2x lumber,205 inches
879,is the 7 round plate plastic,yes it is
880,how long is the hose,71 inches
881,is the soap dispenser a top fill design,yes it is
882,how far is it between the corbels mounting brackets,about 15 inches
883,is the shelf white or unfinished,white
884,can this be mounted on a sampw mp orc,yes it can
885,how long is the cord,about 10 ft
886,is it white or yellow,white
887,what color is it,white
888,what is the thread size of the head,78 inch
889,hello is the shade white or cream or yellowish thanks,white
890,do these come as a set of two,yes they do
891,will it fit on abn elongated seat,yes it will
892,how long is the spout,about 7
893,will this dnp916 base fit my porter cable 450pk router,yes it will
894,are the lights dimable,yes they are
895,the meassuring system is in inches or centimeters,inches
896,how long are these,24 inches
897,is this unit suitable for blowing out lawn sprinkler lines,yes easily
898,what color is the wire,white
899,will this work for samsung galaxy s2 t989,yes it will
900,where is this made in china thank you,made in china
901,hi where this gerber made in,made in china
902,what is the width of the metal towel bar,it is 16
903,what is the height of the shade,11 inches
904,what is the total height of these lamps,29 12 inches
905,do they include screws,yes they do
906,is the iron black or dark brown espresso,its black
907,is it black or bronze,its black
908,will this fit on a springfield xds,yes it will
909,what is the diameter of the metal tube,about an inch
910,what is the height of this pitcher,about 1 foot
911,is there a spade tool available for this jack hammer,no there isnt
912,what is the diameter of the lights,6 inches
913,can this timer support a different schedule for weekends,yes it can
914,is this the replacement for the fsb24v battery,yes it is
915,is this battery compatible with bampk trimmer nst1024,yes it is
916,what is the height at the top of the tank,31 inches
917,is this the same as brushed nickel,yes it is
918,what color does this light emit white or yellow,white
919,exactly how tall are the daisies when put on stems,about 2 feet
920,what are the shower heads made of plastic or metal,they are plastic
921,is this a genuine guaranteed elkay sink made by elkay,yes it is
922,does this nailer can use 2 3 nails thank you,yes it can
923,how long is this hose,about 36 inches
924,how far down does it hang from the ceiling,about 12 inches
